order_id,clinic_id,product_id,product_name,category,order_date,quantity,delivered_to,delivery_time,current_stock,order_date_clean
B9M0P6,Cl_51,P79,Tealth Internal Irrigation Straight Head Low Speed Handpiece,dental handpeice,4/22/2020,5,Pathanamthitta,9,56,4/22/2020
X2C4H5,Cl_5,P209,CONSERVATIVE INSTRUMENTS KIT,dental instruments,9/13/2021,10,Thane,9,10,9/13/2021
J2D7G4,Cl_44,P6,Saevo S5000,dental_chair,12/17/2020,8,Bhuj,4,2,12/17/2020
Q5W5F3,Cl_60,P80,CSM Implants Submerged III,implant uni-verse,7/18/2022,3,Ghatkopar,9,NULL,7/18/2022
J9T3W3,Cl_62,P21,"VMax
Suction",dental suction,12/21/2022,9,Mumbai,5,10,12/21/2022
W9K5K9,Cl_58,P59,Tornado Super Torque Handpiece,dental handpeice,5/14/2024,10,Mallapuram,9,98,5/14/2024
H8R5G8,Cl_71,P114,Aoralscan 2 Intraoral Scanner,intraoral scanner,3/4/2021,5,Gurugram,3,3,3/4/2021
E2L6M2,Cl_71,P188,Woodpecker DTE U6LED Scaler,ultrasonic scalers,2/22/2024,3,Gurugram,5,19,2/22/2024
F7W1T0,Cl_86,P6,Saevo S5000,dental_chair,12/6/2021,6,Calicut,4,2,12/6/2021
Y5Y8A4,Cl_12,P137,Woodpecker DTE O-Light Plus Unit,light cure unit,8/17/2021,10,Varanasi,9,23,8/17/2021
S7N4U6,Cl_43,P166,Unicorn Zirconia Blanks (ST Pre-Shaded),lab consumables,10/4/2021,4,Alappuzha,5,425,10/4/2021
H1Y9B4,Cl_5,P154,BR Touch,endomotors,6/24/2020,5,Thane,6,28,6/24/2020
B0S5X9,Cl_88,P214,Root Elevators Set Of 13 Pcs (With Warwick James),dental instruments,6/20/2024,5,Ambala,6,7,6/20/2024
Y6H7K2,Cl_29,P63,Hi-Clean Oil Spray Bottle,dental handpeice,2/18/2023,8,Ropar,5,28,2/18/2023
C1V2Q7,Cl_20,P109,Aoralscan 3 Intraoral Scanner,intraoral scanner,8/11/2020,1,Kozhikode,8,2,8/11/2020
N6K7I7,Cl_40,P199,DentXpert Stimulator,dental stimulator,9/1/2025,7,           ,9,1,9/1/2025
M0H9U8,Cl_41,P21,"VMax
Suction",dental suction,1/19/2025,4,Nerul,6,6,1/19/2025
W0S7Z6,Cl_9,P152,BR Rap Endomotor,endomotors,12/22/2023,2,Bargarh,2,27,12/22/2023
W9S7D3,Cl_15,P216,Extraction Forceps Set Of 12pcs,dental instruments,6/12/2025,6,Okhla,2,6,6/12/2025
L8H0S0,Cl_54,P2,Ureka Dental Chair,dental_chair,3/8/2021,10,Varanasi,9,3,3/8/2021
B1P2J2,Cl_5,P202,Impression Trays Set Of 8 (E-Dentulas-Non-Perforated),dental instruments,12/24/2025,5,Thane,4,4,12/24/2025
O6K1B2,Cl_63,P7,Saevo S4000,dental_chair,9/3/2023,3,Jalna,4,5,9/3/2023
T5D7U8,Cl_97,P190,Woodpecker D5Scaler,ultrasonic scalers,2/7/2025,5,Seawood,10,18,2/7/2025
B7B0I7,Cl_41,P105,3ShapeTRIOS 3,intraoral scanner,1/10/2021,5,Nerul,6,3,1/10/2021
P2W8R3,Cl_95,P167,BeSmile Aconia SHT 3D Multilayer Zirconia,lab consumables,8/5/2024,9,Sangli,5,144,8/5/2024
E9U9W4,Cl_62,P86,Osseotouch Magnetic Mallet,implant uni-verse,4/13/2021,10,Mumbai,10,4,4/13/2021
D7F1B4,Cl_2,P154,BR Touch,endomotors,2/28/2023,2,Surat,10,13,2/28/2023
E6Q3A6,Cl_89,P4,Star Dental Chair,dental_chair,11/24/2021,2,Kottayam,7,4,11/24/2021
N6O1K1,Cl_48,P104,Trios 3 Color Pod Intraoral Scanner,intraoral scanner,9/6/2020,6,Nashik,4,1,9/6/2020
U0M9P7,Cl_87,P57,Tornado Standard Head Handpiece,dental handpeice,4/14/2025,6,Pune,5,33,4/14/2025
T7L7L7,Cl_27,P127,Roland DWX-53D Dental Milling Machine,dental milling machine,4/4/2024,7,Rohini,6,2,4/4/2024
I8P8K7,Cl_86,P9,Saevo S200,dental_chair,9/6/2023,2,Calicut,5,5,9/6/2023
N7N6C4,Cl_90,P213,Root Elevators Set Of 9 Pcs With Cross Bar Elevators,dental instruments,6/8/2020,3,Rourkela,4,2,6/8/2020
S5M9W7,Cl_17,P209,CONSERVATIVE INSTRUMENTS KIT,dental instruments,4/15/2020,10,Ludhinana,8,9,4/15/2020
S9K4I6,Cl_72,P196,All-in-One PC Intraoral Camera,intraoral camera,7/17/2025,4,Kottayam,4,1,7/17/2025
B7A1P3,Cl_47,P203,Composite Filling Instruments T.C. Blue Set Of 6Pcs,dental instruments,1/1/2023,10,Pune,8,9,1/1/2023
N9B5A7,Cl_65,P105,3ShapeTRIOS 3,intraoral scanner,2/16/2020,5,Erode,4,1,2/16/2020
W9M2B4,Cl_54,P91,EMS Airflow Prophylaxis Master,implant uni-verse,11/16/2023,4,Varanasi,9,5,11/16/2023
K6H7Q9,Cl_11,P9,Saevo S200,dental_chair,1/8/2020,5,Goregaon,4,2,1/8/2020
D9M4F4,Cl_93,P46,NSK S-Max SG20 Handpiece,dental handpeice,9/29/2025,5,Rajkot,10,66,9/29/2025
V9L2X3,Cl_55,P1,Ureka Elite Dental Chair,dental_chair,3/16/2023,1,Belgaum,10,3,3/16/2023
E8F3H7,Cl_54,P218,CLINIC SET UP KIT 2 (Package-II),dental instruments,5/28/2023,6,Varanasi,6,1,5/28/2023
R2G5V6,Cl_96,P157,NSK Physiodispensor Surgic AP 2,physiodispensor and piezosurgery units,6/13/2024,9,Guwahati,4,4,6/13/2024
M6Y6N5,Cl_56,P187,Woodpecker PT-3LED Scaler,ultrasonic scalers,1/5/2027,5,Salem,9,20,1/5/2027
O3N8X7,Cl_16,P133,Arum 5x-300 Pro Milling Machine,dental milling machine,1/21/2024,5,Okhla,6,1,1/21/2024
D6F0U7,Cl_48,P210,LUXATOME SET Of4 Pcs,dental instruments,11/17/2025,10,Nashik,4,9,11/17/2025
V1J2H7,Cl_53,P94,NSK Physiodispensor Surgic AP 2,physiodispensor unit,11/3/2021,5,Malappuram,6,NULL,11/3/2021
L3J5R7,Cl_27,P144,Micro NX Micromotor (Table Top),dental micromotor,12/24/2025,10,Rohini,5,29,12/24/2025
V1P0O7,Cl_43,P32,Genoray Port XIII Portable X-Ray,imaging,10/18/2021,3,Alappuzha,4,1,10/18/2021
E7F3K1,Cl_62,P48,NSK MPASHead,dental handpeice,5/14/2023,8,Mumbai,4,76,5/14/2023
X9N7F0,Cl_41,P113,Shinning 3D E-Motion Workstation,intraoral scanner,2/21/2021,2,Nerul,9,1,2/21/2021
X9S8G8,Cl_5,P67,Tealth Latch Type Contra Angle Low Speed Handpiece,dental handpeice,9/16/2021,7,Thane,6,78,9/16/2021
W4Z6H4,Cl_59,P87,Yahope3D-Optix,implant uni-verse,5/18/2020,9,Yavatmal,8,6,5/18/2020
D7A6D5,Cl_45,P140,Tulip Digital LED Curing Light,light cure unit,6/1/2021,3,Malappuram,5,39,6/1/2021
T9E4R9,Cl_64,P116,Shining 3D AoralScan 3 NEO Intraoral Scanner,face scanner,7/16/2021,9,Chandigarh,5,3,7/16/2021
X7L0O3,Cl_86,P158,NSK Physiodispenser Surgic Pro 2,physiodispensor and piezosurgery units,3/19/2021,6,Calicut,10,6,3/19/2021
