order_id,clinic_id,product_id,product_name_x,category_x,order_date,quantity,delivered_to,delivery_time,current_stock,order_date_clean,stock_risk,total_qty,classification,product_name_y,category_id,category_y,cost_price,selling_price,shelf_life,cost_price_flagged,selling_price_flagged,revenue
V9L2X3,Cl_55,P1,Ureka Elite Dental Chair,dental_chair,3/16/2023,1,Belgaum,10,3,3/16/2023,0.548076923,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,380000
M7U2L9,Cl_95,P1,Ureka Elite Dental Chair,dental_chair,8/31/2025,5,Sangli,8,2,8/31/2025,0.365384615,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,1900000
B8Y4T6,Cl_69,P1,Ureka Elite Dental Chair,dental_chair,12/12/2020,6,Salem,6,5,12/12/2020,0.913461538,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,2280000
L7Y3K3,Cl_4,P1,Ureka Elite Dental Chair,dental_chair,9/26/2021,9,Raipur,6,5,9/26/2021,0.913461538,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,3420000
D4K4B6,Cl_24,P1,Ureka Elite Dental Chair,dental_chair,1/8/2020,9,Pune,7,3,1/8/2020,0.548076923,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,3420000
U0C4D3,Cl_1,P1,Ureka Elite Dental Chair,dental_chair,3/25/2021,1,Surat,9,3,3/25/2021,0.548076923,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,380000
W8C3L8,Cl_49,P1,Ureka Elite Dental Chair,dental_chair,11/28/2023,10,Jalgaon,4,3,11/28/2023,0.548076923,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,3800000
Z1N2I1,Cl_84,P1,Ureka Elite Dental Chair,dental_chair,12/28/2024,5,Vasant Kunj,6,4,12/28/2024,0.730769231,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,1900000
O7S1Q4,Cl_74,P1,Ureka Elite Dental Chair,dental_chair,5/13/2025,8,Palakkad,8,3,5/13/2025,0.548076923,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,3040000
B3F9L0,Cl_74,P1,Ureka Elite Dental Chair,dental_chair,7/17/2021,9,Palakkad,5,5,7/17/2021,0.913461538,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,3420000
H8M0P9,Cl_43,P1,Ureka Elite Dental Chair,dental_chair,7/28/2021,2,Alappuzha,2,3,7/28/2021,0.548076923,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,760000
A1L8A8,Cl_60,P1,Ureka Elite Dental Chair,dental_chair,1/6/2022,8,Ghatkopar,6,2,1/6/2022,0.365384615,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,3040000
I3F9C9,Cl_50,P1,Ureka Elite Dental Chair,dental_chair,3/8/2021,6,Raipur,7,4,3/8/2021,0.730769231,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,2280000
D8I8G3,Cl_42,P1,Ureka Elite Dental Chair,dental_chair,11/4/2024,8,Sri Ganganagar,7,4,11/4/2024,0.730769231,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,3040000
Y9A5J2,Cl_25,P1,Ureka Elite Dental Chair,dental_chair,12/13/2020,6,Boriwali,10,5,12/13/2020,0.913461538,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,2280000
S7O7N6,Cl_6,P1,Ureka Elite Dental Chair,dental_chair,5/24/2024,1,Indore,4,2,5/24/2024,0.365384615,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,380000
K8U8C8,Cl_54,P1,Ureka Elite Dental Chair,dental_chair,2/3/2025,2,Varanasi,10,5,2/3/2025,0.913461538,104,Slow_Moving,Ureka Elite Dental Chair,C_1,Dental_Chair,220000,380000,8,Normal,Normal,760000
